2021-06-04T16:17:48.093Z [AUDIT] Token created by 'anonymous': tokenId='8a2a63c1-baa1-4b46-91c7-f40417140db3', issuer='jfrou@01f7bx1pe9qecxd1dj698wp1v5', subject='jfrou@01f7bx1pe9qecxd1dj698wp1v5', expiry=none, refreshable=false
2021-06-09T06:05:48.985Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='54cc1344-7d70-47c6-9a29-b9c3e9e5703f', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1623305148983, refreshable=true
2021-06-09T06:15:04.001Z [AUDIT] Token created by 'jffe@000': tokenId='60e23d2e-d8e6-4b88-85b2-b3f856097f37', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623219904001, refreshable=false
2021-06-09T06:15:04.001Z [AUDIT] Token created by 'jffe@000': tokenId='2b1f3274-adcf-4005-b93d-eb0902958e0b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623219904001, refreshable=false
2021-06-09T06:15:04.003Z [AUDIT] Token created by 'jffe@000': tokenId='97b1dbc7-a4ee-449f-8de5-c04e4369c0f5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623219904003, refreshable=false
2021-06-09T06:25:04.077Z [AUDIT] Token created by 'jffe@000': tokenId='0cb15621-8e2f-4415-9189-12dde62b35a6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623220504077, refreshable=false
2021-06-09T06:25:04.077Z [AUDIT] Token created by 'jffe@000': tokenId='f909400d-484b-4a76-82a3-987d3389ccc6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623220504077, refreshable=false
2021-06-09T06:25:04.078Z [AUDIT] Token created by 'jffe@000': tokenId='638e2301-59a6-41c5-823f-912eacaa63d6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623220504078, refreshable=false
2021-06-09T06:35:04.143Z [AUDIT] Token created by 'jffe@000': tokenId='5e8ee4e7-8b7c-458a-a27d-5996983e8633', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623221104143, refreshable=false
2021-06-09T06:35:04.145Z [AUDIT] Token created by 'jffe@000': tokenId='4755a5f9-9ad4-418e-b552-64b8833f1dd4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623221104145, refreshable=false
2021-06-09T06:35:04.148Z [AUDIT] Token created by 'jffe@000': tokenId='95dfe1a0-046e-45e9-b506-85354f2d0c2f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623221104148, refreshable=false
2021-06-09T06:45:04.198Z [AUDIT] Token created by 'jffe@000': tokenId='02dd2af9-7559-4e4d-a8e4-989189b43405', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623221704198, refreshable=false
2021-06-09T06:45:04.198Z [AUDIT] Token created by 'jffe@000': tokenId='53fac77f-780c-431e-b87e-9d769f8ee274', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623221704198, refreshable=false
2021-06-09T06:45:04.200Z [AUDIT] Token created by 'jffe@000': tokenId='89e59f32-57b6-4ba4-b91c-dd705efcb501', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623221704200, refreshable=false
2021-06-09T06:55:04.276Z [AUDIT] Token created by 'jffe@000': tokenId='b452b85c-286a-44c6-a081-7e13290efa10', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623222304276, refreshable=false
2021-06-09T06:55:04.276Z [AUDIT] Token created by 'jffe@000': tokenId='64d212c7-5f29-48f8-b2cd-8860d165ccdf', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623222304276, refreshable=false
2021-06-09T06:55:04.277Z [AUDIT] Token created by 'jffe@000': tokenId='9205cc3a-0c6e-4934-88d1-eda6b9f80fe3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623222304277, refreshable=false
2021-06-09T07:05:04.331Z [AUDIT] Token created by 'jffe@000': tokenId='0295507a-8214-45d9-9863-18fe7bee034f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623222904331, refreshable=false
2021-06-09T07:05:04.331Z [AUDIT] Token created by 'jffe@000': tokenId='91514f4e-443e-4767-8a57-7f26c360e911', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623222904331, refreshable=false
2021-06-09T07:05:04.335Z [AUDIT] Token created by 'jffe@000': tokenId='35026fb5-2ea0-4477-8a96-464c5f9d157f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623222904335, refreshable=false
2021-06-09T07:15:04.389Z [AUDIT] Token created by 'jffe@000': tokenId='eaedb2fd-4c2d-4352-a446-8ffa8df8db22', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623223504389, refreshable=false
2021-06-09T07:15:04.389Z [AUDIT] Token created by 'jffe@000': tokenId='af69a50d-fc18-4884-a32c-f427e644a8a5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623223504389, refreshable=false
2021-06-09T07:15:04.391Z [AUDIT] Token created by 'jffe@000': tokenId='1342b752-365a-436f-b3bf-184ee5688f2e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623223504391, refreshable=false
2021-06-09T07:25:04.437Z [AUDIT] Token created by 'jffe@000': tokenId='cb1cf28a-8928-4861-a5f9-d504be41a2d7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623224104437, refreshable=false
2021-06-09T07:25:04.437Z [AUDIT] Token created by 'jffe@000': tokenId='45ec1801-cfcc-4baa-91b0-9b68fb5f743d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623224104437, refreshable=false
2021-06-09T07:25:04.437Z [AUDIT] Token created by 'jffe@000': tokenId='d7538212-9010-4e8a-8a14-fe2bac385fb6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623224104437, refreshable=false
2021-06-09T07:35:04.483Z [AUDIT] Token created by 'jffe@000': tokenId='783a7d7b-4f83-47eb-9192-921020d43d11', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623224704483, refreshable=false
2021-06-09T07:35:04.483Z [AUDIT] Token created by 'jffe@000': tokenId='3924737f-717b-457a-a02f-414a04bd73aa', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623224704483, refreshable=false
2021-06-09T07:35:04.486Z [AUDIT] Token created by 'jffe@000': tokenId='487baaf2-398a-4933-8cbf-016a2510fd4f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623224704486, refreshable=false
2021-06-09T07:45:04.542Z [AUDIT] Token created by 'jffe@000': tokenId='cc395cf9-c808-4c77-b3d0-294e10e819cb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623225304542, refreshable=false
2021-06-09T07:45:04.542Z [AUDIT] Token created by 'jffe@000': tokenId='73e825b7-374a-4c63-9fbb-fba9356ed401', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623225304542, refreshable=false
2021-06-09T07:45:04.542Z [AUDIT] Token created by 'jffe@000': tokenId='8f317f18-780d-4b26-96fd-f83e1ee72875', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623225304542, refreshable=false
2021-06-09T07:55:04.586Z [AUDIT] Token created by 'jffe@000': tokenId='2124f4b4-ed16-4efe-bea3-118690db33d8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623225904586, refreshable=false
2021-06-09T07:55:04.586Z [AUDIT] Token created by 'jffe@000': tokenId='c08799e0-7799-4461-a96d-3e43ea964252', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623225904586, refreshable=false
2021-06-09T07:55:04.590Z [AUDIT] Token created by 'jffe@000': tokenId='01a110ac-fefc-48dc-907b-ca36f8c97fa0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623225904590, refreshable=false
2021-06-09T08:05:04.659Z [AUDIT] Token created by 'jffe@000': tokenId='40eef22b-d12b-487d-a14c-cd9672f16d80', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623226504659, refreshable=false
2021-06-09T08:05:04.659Z [AUDIT] Token created by 'jffe@000': tokenId='a8f869ff-b720-42bb-94bc-576881904aa2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623226504659, refreshable=false
2021-06-09T08:05:04.659Z [AUDIT] Token created by 'jffe@000': tokenId='75b248d0-a700-4719-879b-09b728c622a6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623226504659, refreshable=false
2021-06-09T08:15:04.700Z [AUDIT] Token created by 'jffe@000': tokenId='96df27f8-eb84-437e-82e4-f7c97aeab738', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623227104700, refreshable=false
2021-06-09T08:15:04.700Z [AUDIT] Token created by 'jffe@000': tokenId='0fdcb113-db11-4cc0-8d10-0ab348d7bf55', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623227104700, refreshable=false
2021-06-09T08:15:04.703Z [AUDIT] Token created by 'jffe@000': tokenId='34570807-6884-4af2-a4bb-c0db4ccf09e7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623227104703, refreshable=false
2021-06-09T08:25:04.731Z [AUDIT] Token created by 'jffe@000': tokenId='c8103756-7983-41b7-901f-9600682bdd91', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623227704731, refreshable=false
2021-06-09T08:25:04.731Z [AUDIT] Token created by 'jffe@000': tokenId='60d0b818-42e7-4fd1-9aa3-a8501d917cb3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623227704731, refreshable=false
2021-06-09T08:25:04.734Z [AUDIT] Token created by 'jffe@000': tokenId='26c04442-d80c-4d61-98ff-42e84fcd4897', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623227704734, refreshable=false
2021-06-09T08:35:04.760Z [AUDIT] Token created by 'jffe@000': tokenId='58c397f6-1fd4-4148-8b55-8946245d6649', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623228304760, refreshable=false
2021-06-09T08:35:04.764Z [AUDIT] Token created by 'jffe@000': tokenId='7c85c566-91d9-4d14-99a1-cc155e541d50', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623228304764, refreshable=false
2021-06-09T08:35:04.765Z [AUDIT] Token created by 'jffe@000': tokenId='23219e44-8fb5-4443-9507-0f1d1fbf0778', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623228304765, refreshable=false
2021-06-09T08:45:04.797Z [AUDIT] Token created by 'jffe@000': tokenId='fda13d8e-1828-445d-b038-a8e2052f8c5a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623228904796, refreshable=false
2021-06-09T08:45:04.797Z [AUDIT] Token created by 'jffe@000': tokenId='6fcc2d8e-5740-41d2-8cce-f9da1f7c1f02', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623228904797, refreshable=false
2021-06-09T08:45:04.800Z [AUDIT] Token created by 'jffe@000': tokenId='47026e64-1e79-4b1b-a38f-e4c9a29f74d0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623228904800, refreshable=false
2021-06-09T08:55:04.846Z [AUDIT] Token created by 'jffe@000': tokenId='4e20cdd8-6167-41e1-9a22-f138f6f2d042', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623229504846, refreshable=false
2021-06-09T08:55:04.846Z [AUDIT] Token created by 'jffe@000': tokenId='f59b7a5d-a5b1-42f0-a806-b91a13515cb5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623229504846, refreshable=false
2021-06-09T08:55:04.846Z [AUDIT] Token created by 'jffe@000': tokenId='1fdd516a-328d-4645-9b9d-e16fb52f0af2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623229504846, refreshable=false
2021-06-09T09:05:04.879Z [AUDIT] Token created by 'jffe@000': tokenId='3ed24aff-3624-404f-bb0d-d854dac86d7a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623230104879, refreshable=false
2021-06-09T09:05:04.879Z [AUDIT] Token created by 'jffe@000': tokenId='8e133586-bdb6-4c28-995d-6d5024c0f853', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623230104879, refreshable=false
2021-06-09T09:05:04.888Z [AUDIT] Token created by 'jffe@000': tokenId='2b4d7471-c847-4431-b798-52fe88f71b3d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623230104888, refreshable=false
2021-06-09T09:15:04.926Z [AUDIT] Token created by 'jffe@000': tokenId='8ffbdec5-6351-4600-a6ac-cedbb9bfd600', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623230704926, refreshable=false
2021-06-09T09:15:04.926Z [AUDIT] Token created by 'jffe@000': tokenId='caa4317b-8c25-4094-98e2-589d67966ac1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623230704926, refreshable=false
2021-06-09T09:15:04.928Z [AUDIT] Token created by 'jffe@000': tokenId='8a9cdc8c-bdbe-4abd-80f7-d983d07ca7d2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623230704928, refreshable=false
2021-06-09T09:25:04.968Z [AUDIT] Token created by 'jffe@000': tokenId='789170e0-bc5e-485c-8832-79cc510715e1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623231304968, refreshable=false
2021-06-09T09:25:04.968Z [AUDIT] Token created by 'jffe@000': tokenId='685023de-1925-4a7c-9353-3fc7f96a7ff3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623231304968, refreshable=false
2021-06-09T09:25:04.971Z [AUDIT] Token created by 'jffe@000': tokenId='28974bbe-eef1-4132-ae0d-702706fe7b5f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623231304971, refreshable=false
2021-06-09T09:35:05.008Z [AUDIT] Token created by 'jffe@000': tokenId='639180e5-ef53-4654-87c4-a4054d8c2a52', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623231905008, refreshable=false
2021-06-09T09:35:05.008Z [AUDIT] Token created by 'jffe@000': tokenId='b96bd5c4-52fa-4a0a-8755-f641b9f68bd8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623231905008, refreshable=false
2021-06-09T09:35:05.008Z [AUDIT] Token created by 'jffe@000': tokenId='d44eeb77-7955-453e-86e2-46a5eae84552', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623231905008, refreshable=false
2021-06-09T09:45:05.059Z [AUDIT] Token created by 'jffe@000': tokenId='43dd3357-3734-49f7-8b10-c545805db576', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623232505058, refreshable=false
2021-06-09T09:45:05.059Z [AUDIT] Token created by 'jffe@000': tokenId='c971bcb5-17a7-463a-9711-a2f0fe658b39', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623232505058, refreshable=false
2021-06-09T09:45:05.059Z [AUDIT] Token created by 'jffe@000': tokenId='715674da-8514-49dc-93db-874640e2fe03', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623232505059, refreshable=false
2021-06-09T09:55:05.095Z [AUDIT] Token created by 'jffe@000': tokenId='55696339-fb5f-4831-b8b7-9b2feab0e131', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623233105095, refreshable=false
2021-06-09T09:55:05.095Z [AUDIT] Token created by 'jffe@000': tokenId='d9053e05-c018-4be5-aff2-bdec38f447fe', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623233105095, refreshable=false
2021-06-09T09:55:05.095Z [AUDIT] Token created by 'jffe@000': tokenId='bf4378ac-b5ae-4847-9f05-c0a12c958ad4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623233105095, refreshable=false
2021-06-09T10:05:05.191Z [AUDIT] Token created by 'jffe@000': tokenId='91eddee4-13e8-4801-a41c-c34f7e9c6422', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623233705191, refreshable=false
2021-06-09T10:05:05.191Z [AUDIT] Token created by 'jffe@000': tokenId='9ddf6fa2-5582-4a89-8cfd-078a1d686230', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623233705191, refreshable=false
2021-06-09T10:05:05.192Z [AUDIT] Token created by 'jffe@000': tokenId='f656d58a-e7ab-40fa-8fa2-9f82541b2e00', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623233705192, refreshable=false
2021-06-09T10:15:05.289Z [AUDIT] Token created by 'jffe@000': tokenId='44da7327-e7b6-4724-b1d5-5971996450fe', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623234305289, refreshable=false
2021-06-09T10:15:05.289Z [AUDIT] Token created by 'jffe@000': tokenId='59e115d4-2332-4cea-9d6f-80c8a63151d3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623234305289, refreshable=false
2021-06-09T10:15:05.290Z [AUDIT] Token created by 'jffe@000': tokenId='dbf172bc-83f2-49cf-9743-17781b6a2b36', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623234305290, refreshable=false
2021-06-09T10:25:05.398Z [AUDIT] Token created by 'jffe@000': tokenId='3ea5c008-002b-4dec-86a3-534d44d9ddb1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623234905398, refreshable=false
2021-06-09T10:25:05.398Z [AUDIT] Token created by 'jffe@000': tokenId='309118ba-4021-4361-a716-33d8d2e0b8dc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623234905398, refreshable=false
2021-06-09T10:25:05.401Z [AUDIT] Token created by 'jffe@000': tokenId='ab6e115d-de67-4318-b687-4d197c226077', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623234905400, refreshable=false
2021-06-09T10:35:05.490Z [AUDIT] Token created by 'jffe@000': tokenId='aa23b7be-2fe8-48f2-a33a-ce5ffa8bc68d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623235505490, refreshable=false
2021-06-09T10:35:05.493Z [AUDIT] Token created by 'jffe@000': tokenId='ed040f3f-3c65-441c-9d58-88054f2ca483', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623235505493, refreshable=false
2021-06-09T10:35:05.495Z [AUDIT] Token created by 'jffe@000': tokenId='4b0ad633-0813-42c1-9758-b27502804cac', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623235505495, refreshable=false
2021-06-09T10:45:05.591Z [AUDIT] Token created by 'jffe@000': tokenId='7c73e7ed-a2c0-4e6f-bc48-28d58f37054d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623236105591, refreshable=false
2021-06-09T10:45:05.591Z [AUDIT] Token created by 'jffe@000': tokenId='21ba2e83-d1ef-4db9-a8d4-10d9e6e50fa4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623236105591, refreshable=false
2021-06-09T10:45:05.594Z [AUDIT] Token created by 'jffe@000': tokenId='88dcd43b-6f0c-4579-acfd-f1305bd7b130', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623236105594, refreshable=false
2021-06-09T10:55:05.679Z [AUDIT] Token created by 'jffe@000': tokenId='75615d0e-1d71-4154-87dc-baa62d60e0af', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623236705679, refreshable=false
2021-06-09T10:55:05.679Z [AUDIT] Token created by 'jffe@000': tokenId='b439e00f-f41a-4e36-a3cb-5811ec26f07c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623236705679, refreshable=false
2021-06-09T10:55:05.682Z [AUDIT] Token created by 'jffe@000': tokenId='4def5db2-cafd-42b7-85e9-5865c682ac4b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623236705682, refreshable=false
2021-06-09T11:05:05.768Z [AUDIT] Token created by 'jffe@000': tokenId='e9e96429-14d8-4c77-acd6-5db3c4658c15', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623237305768, refreshable=false
2021-06-09T11:05:05.768Z [AUDIT] Token created by 'jffe@000': tokenId='8ceed746-290c-4385-9d9d-4b2919748023', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623237305768, refreshable=false
2021-06-09T11:05:05.777Z [AUDIT] Token created by 'jffe@000': tokenId='4e17c701-581e-4b90-9bab-2ba8df9696b1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623237305777, refreshable=false
2021-06-09T11:15:05.839Z [AUDIT] Token created by 'jffe@000': tokenId='7ec56687-e51d-481e-bc50-5a6f4a611d29', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623237905839, refreshable=false
2021-06-09T11:15:05.839Z [AUDIT] Token created by 'jffe@000': tokenId='f6c81b40-9b4e-4586-b910-ae8832b06ca6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623237905839, refreshable=false
2021-06-09T11:15:05.842Z [AUDIT] Token created by 'jffe@000': tokenId='d22df19b-c155-408f-94a6-a2a0ab8c5380', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623237905842, refreshable=false
2021-06-09T11:25:05.940Z [AUDIT] Token created by 'jffe@000': tokenId='738b3ed6-7d72-472e-a420-d4273652d251', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623238505940, refreshable=false
2021-06-09T11:25:05.941Z [AUDIT] Token created by 'jffe@000': tokenId='75a0fa2d-9100-4745-a352-7ea2105f332f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623238505941, refreshable=false
2021-06-09T11:25:05.940Z [AUDIT] Token created by 'jffe@000': tokenId='0db82210-f0d2-45c9-81a8-417ca851c3fc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623238505940, refreshable=false
2021-06-09T11:35:06.087Z [AUDIT] Token created by 'jffe@000': tokenId='ac0dfcb1-72a3-48b0-a9bd-2b9b2435e5b6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623239106087, refreshable=false
2021-06-09T11:35:06.087Z [AUDIT] Token created by 'jffe@000': tokenId='d3bc0ec3-bf7b-402d-86bd-829390782b1b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623239106087, refreshable=false
2021-06-09T11:35:06.093Z [AUDIT] Token created by 'jffe@000': tokenId='c1f32296-e640-4a4b-a3f6-dbd7b35f939f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623239106093, refreshable=false
2021-06-09T11:45:06.144Z [AUDIT] Token created by 'jffe@000': tokenId='a60a8a16-f180-4db3-9466-ff120eaaca20', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623239706144, refreshable=false
2021-06-09T11:45:06.144Z [AUDIT] Token created by 'jffe@000': tokenId='9e14e00f-f54a-436c-9979-db9675b938e1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623239706144, refreshable=false
2021-06-09T11:45:06.144Z [AUDIT] Token created by 'jffe@000': tokenId='7f88d5f0-110a-4378-b7d9-e763d497c4f7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623239706144, refreshable=false
2021-06-09T11:55:06.210Z [AUDIT] Token created by 'jffe@000': tokenId='af58c560-5bce-4b32-a49b-6f9f43735028', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623240306210, refreshable=false
2021-06-09T11:55:06.213Z [AUDIT] Token created by 'jffe@000': tokenId='83d951f1-069c-4875-95fb-613e1288fafc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623240306213, refreshable=false
2021-06-09T11:55:06.215Z [AUDIT] Token created by 'jffe@000': tokenId='65d1f93e-06b9-4c76-bd77-9eee26a79ecd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623240306215, refreshable=false
2021-06-09T12:05:06.277Z [AUDIT] Token created by 'jffe@000': tokenId='7c0ef012-81ca-4dc7-9f0c-e37f8969f2a5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623240906277, refreshable=false
2021-06-09T12:05:06.278Z [AUDIT] Token created by 'jffe@000': tokenId='3c3662f3-9d17-4037-9d78-7092d14fd8f3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623240906278, refreshable=false
2021-06-09T12:05:06.278Z [AUDIT] Token created by 'jffe@000': tokenId='32a5853f-e20c-4c76-a23e-b35e2b2c2276', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623240906278, refreshable=false
2021-06-09T12:15:06.341Z [AUDIT] Token created by 'jffe@000': tokenId='e9b7b8dd-b872-4c81-95b2-f3f06e32a102', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623241506341, refreshable=false
2021-06-09T12:15:06.341Z [AUDIT] Token created by 'jffe@000': tokenId='cf9d6191-d938-4c35-8f97-060d204aee5a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623241506341, refreshable=false
2021-06-09T12:15:06.342Z [AUDIT] Token created by 'jffe@000': tokenId='af4bc2f3-96ef-415a-a74b-10c242e56b3c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623241506342, refreshable=false
2021-06-09T12:25:06.465Z [AUDIT] Token created by 'jffe@000': tokenId='00860b05-32cd-4a7d-9076-cfd9e430fd91', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623242106465, refreshable=false
2021-06-09T12:25:06.468Z [AUDIT] Token created by 'jffe@000': tokenId='95f47742-9860-4018-a379-c5e5bb2c6a1f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623242106468, refreshable=false
2021-06-09T12:25:06.468Z [AUDIT] Token created by 'jffe@000': tokenId='e0fe9875-fb0a-41ba-9e00-7668bd9cfbe8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623242106468, refreshable=false
2021-06-09T12:35:06.544Z [AUDIT] Token created by 'jffe@000': tokenId='ffe9f4e7-ab08-40e2-945c-63c8267afd42', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623242706544, refreshable=false
2021-06-09T12:35:06.544Z [AUDIT] Token created by 'jffe@000': tokenId='8ed7d6ab-c813-4a34-b8ea-50f4d0ed21be', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623242706544, refreshable=false
2021-06-09T12:35:06.547Z [AUDIT] Token created by 'jffe@000': tokenId='2c273a32-1244-4d7a-b508-fdd0a33ff381', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623242706547, refreshable=false
2021-06-09T12:45:06.639Z [AUDIT] Token created by 'jffe@000': tokenId='e612154b-5a33-4110-82a4-0f9748623f1d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623243306639, refreshable=false
2021-06-09T12:45:06.639Z [AUDIT] Token created by 'jffe@000': tokenId='cdada360-cd84-492d-aa43-cb00d734cf2d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623243306639, refreshable=false
2021-06-09T12:45:06.640Z [AUDIT] Token created by 'jffe@000': tokenId='ef9fee3c-c2ec-4977-b9b4-7f079341804f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623243306640, refreshable=false
2021-06-09T12:55:06.708Z [AUDIT] Token created by 'jffe@000': tokenId='5e827ef9-03bc-44c3-96a9-0a1e5ee584bd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623243906708, refreshable=false
2021-06-09T12:55:06.708Z [AUDIT] Token created by 'jffe@000': tokenId='ca665f1b-180e-4ec0-bb30-795d120ff7f2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623243906708, refreshable=false
2021-06-09T12:55:06.708Z [AUDIT] Token created by 'jffe@000': tokenId='e1c98cef-8d41-403e-80c7-5c420caa6635', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623243906708, refreshable=false
